freq,unit,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC_GNI,ED1_2,HU	1.6 	: 	1.2 	1.5 	1.6 	1.4 	1.3 	1.6 	1.5 
A,PC_GNI,ED1_2,IE	4.1 	: 	3.1 	2.6 	2.5 	2.1 	2.1 	2.1 	2.2 
A,PC_GNI,ED1_2,IS	3.8 	3.3 	3.4 	: 	: 	: 	: 	: 	: 
A,PC_GNI,ED1_2,IT	1.7 	1.7 	1.7 	1.7 	1.5 	1.6 	1.6 	1.7 	1.8 
A,PC_GNI,ED1_2,LT	2.1 	6.6 	1.8 	1.8 	1.9 	1.8 	1.8 	1.8 	2.0 
A,PC_GNI,ED1_2,LU	3.4 	2.9 	3.1 	3.1 	2.6 	2.8 	2.5 	2.9 	2.8 
A,PC_GNI,ED1_2,LV	2.8 	2.2 	2.3 	2.4 	2.2 	2.0 	1.9 	1.9 	2.0 
A,PC_GNI,ED1_2,MT	1.9 	1.9 	1.8 	1.7 	2.0 	1.9 	2.0 	1.9 	2.3 
A,PC_GNI,ED1_2,NL	2.7 	2.8 	2.4 	2.4 	2.4 	2.2 	2.2 	2.2 	2.4 p
A,PC_GNI,ED1_2,NO	2.4 	2.5 	2.4 	2.5 	2.6 	2.6 	2.6 	2.7 	2.8 
A,PC_GNI,ED1_2,PL	2.4 	2.4 	2.4 	2.3 	2.3 	2.2 	2.2 	2.2 	2.2 
A,PC_GNI,ED1_2,PT	2.7 	2.9 	2.7 	2.6 	2.6 	2.7 	2.5 	2.5 	2.6 
A,PC_GNI,ED1_2,RO	1.0 	1.1 	1.1 	1.1 	1.0 	1.0 	1.1 	1.2 	1.2 p
A,PC_GNI,ED1_2,RS	: 	: 	: 	: 	: 	1.8 d	: 	: 	: 
A,PC_GNI,ED1_2,SE	: 	2.6 	2.5 	2.6 	2.7 	2.7 	2.8 	2.8 	2.8 
A,PC_GNI,ED1_2,SI	2.5 	2.4 	2.3 	2.2 	2.2 	2.1 	2.2 	2.2 	2.4 
A,PC_GNI,ED1_2,SK	: 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 	2.0 	2.2 
A,PC_GNI,ED1_2,TR	: 	1.9 	1.9 	1.8 d	: 	1.5 	: 	: 	1.5 p
A,PC_GNI,ED1_2,UK	2.8 	2.8 	2.9 	2.8 b	2.7 	2.6 	2.6 	2.6 	: 
A,PC_GNI,ED2,AT	1.2 	1.3 	1.2 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 
A,PC_GNI,ED2,BE	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 p
A,PC_GNI,ED2,BG	0.7 	0.8 	0.8 	0.8 	0.8 	0.8 	: 	: 	: 
A,PC_GNI,ED2,CH	1.0 	1.0 	1.0 	0.9 	0.9 	0.9 p	0.9 p	: 	0.9 p
A,PC_GNI,ED2,CY	1.3 	1.3 	1.3 	1.2 	1.2 	1.1 	1.1 	1.1 	1.3 
A,PC_GNI,ED2,CZ	1.0 	1.0 	0.9 	0.9 	0.9 	1.0 	1.1 	1.2 	1.3 
A,PC_GNI,ED2,DE	1.2 	1.2 	1.2 	1.2 	1.1 	1.1 	1.2 	1.2 p	1.3 p
A,PC_GNI,ED2,DK	1.2 	1.1 	1.2 	: 	1.0 	1.0 	1.0 	0.9 	1.1 
A,PC_GNI,ED2,EE	0.8 	0.7 	0.6 	0.6 	0.6 	0.6 	0.7 	0.8 	0.9 
A,PC_GNI,ED2,EL	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 p	0.7 p	0.7 p	: 
A,PC_GNI,ED2,ES	0.9 	0.8 	0.7 	0.8 	0.7 	0.7 	0.7 	0.7 	0.9 
